,AAPL,BAC,BLK,CME,CMG,CRM,DXC,EA,FB,GD,GOOG,GOOGL,GS,HPE,IBM,INTC,JPM,KO,MCD,MSFT,NDAQ,NFLX,NOC,NVDA,QCOM
AAPL,1,0.342960091,0.427751248,0.182825989,0.108526705,-0.398570142,0.066905125,0.135840802,0.294365452,0.377176086,0.3904883,0.394875935,0.259361395,0.316362844,0.335484169,0.422357423,0.308071689,0.093233029,0.085858501,0.612912106,0.281576065,0.220996755,0.092854866,0.432340873,0.167169299
BAC,0.342960091,1,0.623518969,0.177587992,0.082840673,0.276837243,0.127062675,0.079451143,0.247819595,0.298160139,0.232879033,0.236070508,0.785927199,0.336642345,0.333298126,0.267639917,0.756045814,0.128453691,0.233083687,0.346472576,0.356625078,0.272183738,0.169891474,0.286304032,0.047742529
BLK,0.427751248,0.623518969,1,0.130518126,0.050160828,0.365360098,0.27363963,0.146424993,0.281817402,0.41969387,0.291022022,0.295395849,0.549141055,0.356369175,0.454056491,0.301576554,0.622153423,0.128117885,0.180097315,0.456912141,0.347075977,0.246941578,0.175405867,0.363983099,0.242570585
CME,0.182825989,0.177587992,0.130518126,1,0.105037105,0.047078273,0.150693045,0.003956094,0.09917446,0.111266021,-0.01733085,-0.016155195,0.079570952,0.062485847,0.119797093,0.06716871,0.174391636,0.125358842,0.333290396,0.157513703,0.411955577,0.069530072,0.119094665,0.013868972,-0.049827807
CMG,0.108526705,0.082840673,0.050160828,0.105037105,1,0.247715624,0.049436182,0.142285269,0.201142586,0.067707312,0.069425838,0.066362016,0.04854063,0.13388317,0.15657907,0.065842542,0.075016527,0.020868696,0.170507489,0.137640469,0.214285694,0.210840882,0.048965116,0.110777287,-0.001614589
CRM,0.398570142,0.276837243,0.365360098,0.047078273,0.247715624,1,0.043477354,0.182902555,0.358881923,0.325692157,0.302087043,0.30524073,0.210219136,0.251597742,0.263695538,0.29696348,0.262854268,0.082701844,0.115596226,0.52497023,0.249541746,0.203309159,0.198321718,0.285595055,0.113474459
DXC,0.066905125,0.127062675,0.27363963,0.150693045,0.049436182,0.043477354,1,0.109755856,0.110592258,0.053836093,0.051565832,0.056793064,0.094195613,0.131040161,0.223668481,0.108714721,0.152543586,-0.005776978,0.110846561,0.10548813,0.040638717,0.056605842,0.016954332,0.09806495,-0.004314156
EA,0.135840802,0.079451143,0.146424993,0.003956094,0.142285269,0.182902555,0.109755856,1,0.099414304,0.116399607,0.15085528,0.150171244,0.067711601,0.029837534,0.157788048,0.084512382,0.125743155,-0.008867051,0.012025244,0.224448764,0.055110446,0.115669302,0.033916244,0.184584932,0.083598684
FB,0.294365452,0.247819595,0.281817402,0.09917446,0.201142586,0.358881923,0.110592258,0.099414304,1,0.26401244,0.340956134,0.350697447,0.176107964,0.212456637,0.185215246,0.20801971,0.183134521,-0.00171112,0.170998524,0.482078532,0.187808737,0.195072694,0.115178159,0.266126265,-0.02548631
GD,0.377176086,0.298160139,0.41969387,0.111266021,0.067707312,0.325692157,0.053836093,0.116399607,0.26401244,1,0.200288128,0.199917478,0.239276456,0.155948253,0.223084356,0.180765221,0.295884002,0.115315242,0.121316016,0.466927292,0.218715185,0.166571385,0.360092486,0.239452194,0.126958426
